EMPID	HIREDATE	SALARY		DEPT	JOBCODE	SEX
============================================================
119012	01JUL1973	42340.58	CSR010	602	F
120591	05DEC1985	31000.55	SHP002	602	F
127845	16JAN1972	75320.34	ACC024	204	M
129540	01AUG1987	56123.34	SHP002	204	F
135673	15JUL1989	46322.58	ACC013	602	F
212916	15FEB1958	52345.58	CSR010	602	F
216382	15JUN1990	34004.65	SHP013	602	F
234967	19DEC1993	17000.00	CSR004	602	M
237642	01NOV1981	43200.34	SHP013	602	M
239185	07MAY1986	57920.66	ACC024	602	M
254896	04APR1990	35000.74	CSR011	204	M
321783	10SEP1972	48931.58	CSR011	602	M
328140	10JAN1980	75000.34	ACC043	1204	F
346917	02MAR1992	46000.33	SHP013	204	F
356134	14JUN1990	62450.75	ACC013	204	F
423286	19DEC1993	32870.66	ACC024	602	M
456910	14JUN1983	45000.58	CSR010	602	M
456921	19AUG1992	33210.04	SHP002	602	M
457232	15JUL1990	55000.66	ACC013	602	M
459287	02NOV1969	50000.00	SHP024	204	M
677890	12DEC1993	37610.00	CSR010	204	F
